,Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),Maximum area this plant require (inches),Soil depth for sowing (inches),Plant name
730,Annual,Glebionis coronaria,20-25,5-10,15-20,0.2-0.3,3-5,8-10,40-60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""North Africa"",""Southern Europe""]","[""Spring"",""Summer"",""Autumn""]",40,35,30,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,24,12,0.5,"glebionis coronaria, syn. chrysanthemum c."
731,Annual,Spergula arvensis,20,5,15,0.3,4,300,60,"[""Loamy"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,12,8,0.2,spergula arvensis
732,Shrub,Spiraea salicifolia,15,5,10,0.3,3,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Coastal areas""]","[""Spring"",""Summer""]",40,35,20,48,"[""Slow-release granular fertilizer"",""Organic compost""]",8,60,24,2,spiraea salicifolia
733,Perennial Flowering Plant,Centranthus Ruber,15,2,18,0.25,5,6000,60,"[""Well-drained sandy loam"",""Loamy soil"",""Clay soil""]","[""Mediterranean region"",""Southern Europe"",""Western Asia""]","[""Spring"",""Summer"",""Fall""]",40,35,30,48,"[""Nitrogen-based fertilizer"",""Organic compost""]",4,36,24,0.5,centranthus ruber
734,Herbaceous plant,Achyranthes aspera,25.6,4.3,22.1,0.35,3.8,28800,70,"[""Sandy loam"",""Loamy sand"",""Clay loam""]","[""Tropical regions"",""Subtropical regions"",""Temperate regions""]","[""Year-round"",""Start of summer"",""End of monsoon""]",30,40,50,48,"[""Organic compost"",""NPK fertilizer""]",4,48,12,0.5,achyranthes aspera
735,Fruit tree,Phyllanthus acidus,25,10,28,0.3,5,3600,70,"[""Loamy"",""Sandy""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,40,100,48,"[""Organic compost"",""NPK fertilizer""]",8,240,400,2,phyllanthus acidus
736,Flowering Plant,Argemone sp.,20-30,5-10,15-25,0.2-0.4,3-5,24000-28000,40-60,"[""Loamy"",""Sandy""]","[""North America"",""South America"",""Asia""]","[""Spring"",""Summer""]",30-50,35-40,50-100,48-72,"[""NPK fertilizer"",""Organic compost""]",4-6,36-48,12-18,0.25-0.5,argemone sp.
737,Legume,Phaseolus,25,5,20,0.3,3,3600,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""North America"",""South America"",""Africa""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,36,12,2,phaseolus
738,Annual,Datura Innoxia,20-30,1-5,15-25,0.2-0.4,4-6,18000-22000,40-70,"[""Well-drained sandy loam"",""Clay loam"",""Silt loam""]","[""Subtropical regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",30-40,35-40,50-100,48-72,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4-6,36-60,24-36,0.25-0.5,datura innoxia
739,Annual,Datura Stramonium,20,5,25,0.3,3,30000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Tropical regions"",""Mediterranean regions"",""Subtropical regions""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,48,24,0.5,datura stramonium
740,Legume,Melilotus albus,20,5,15,0.3,3,3600,60,"[""Well-drained loam"",""Sandy loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,0.5,melilotus albus
741,Perennial Herb,Acinos arvensis,15,5,18,0.3,3,24000,60,"[""Sandy loam"",""Clay loam""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer""]",30,35,20,48,"[""General purpose fertilizer"",""Organic compost""]",4,12,12,0.5,acinos arvensis
742,Perennial,Lithospermum officinale,15,5,10,0.3,3,6000,50,"[""Loamy"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""Compost"",""Organic Fertilizer""]",4,24,12,0.5,lithospermum officinale
743,Perennial,Lithospermum purpurocaeruleum,25,5,20,0.3,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""Europe""]","[""Late spring"",""Summer""]",40,35,20,48,"[""10-10-10"",""14-14-14""]",8,24,12,0.5,lithospermum purpurocaeruleum
744,Perennial,Zaluzianskya ovata,22.5,5,18,0.4,3,3600,60,"[""Loam"",""Clay"",""Sandy""]","[""Mediterranean"",""South Africa"",""California""]","[""Spring"",""Summer""]",30,35,10,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,12,12,0.5,zaluzianskya ovata
745,Annual Climber,Quamoclit Lobata,25,5,20,0.3,4,6000,60,"[""Sandy loam"",""Loamy sand""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,120,36,1,quamoclit lobata
746,Annual Vine,Ipomoea Quamoclit,22,5,20,0.4,4,3600,60,"[""Loam"",""Sandy Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,40,20,24,"[""Slow-release granular fertilizer"",""Liquid fertilizer""]",2,144,48,0.5,ipomoea quamoclit
747,Herbaceous plant,Chenopodium vulvaria,18,5,15,0.3,3,24000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer"",""Autumn""]",40,30,10,48,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4,24,12,0.5,chenopodium vulvaria
748,Perennial,Tetradium danielli,20,5,18,0.3,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""Asia"",""Europe""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,48,"[""NPK fertilizer"",""Compost""]",4,120,12,1,tetradium danielli
749,Fungi,Kuehneromyces mutabilis,18,5,15,0.4,3,18000,70,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""Temperate regions"",""Deciduous forests"",""Grasslands""]","[""Spring"",""Autumn""]",40,32,20,48,"[""Organic compost"",""Mushroom substrate""]",12,12,24,2,kuehneromyces mutabilis
750,Perennial,Geranium sanguineum,18,3,15,0.3,2,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Bone meal"",""Compost""]",4,18,12,0.2,geranium sanguineum
751,Perennial,Geranium Macrorrhizum,15,5,18,0.3,4,18000,60,"[""Well-drained"",""Loamy"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,12,24,0.5,geranium macrorrhizum
752,Flowering Plant,Geranium Pusillum,20,5,18,0.3,3,6000,60,"[""Sandy loam"",""Clay loam"",""Loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,12,6,0.2,geranium pusillum
753,Perennial Flower,Geranium Pyrenaicum,15,5,12,0.3,3,3000,60,"[""Well-drained soil"",""Loamy soil""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,geranium pyrenaicum
754,Perennial,Poliomintha longiflora,25,5,20,0.3,3,3600,50,"[""Loam"",""Sandy Loam"",""Well-drained soil""]","[""Southwestern United States"",""Northern Mexico""]","[""Start summer"",""Autumn"",""Spring""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,poliomintha longiflora
755,Perennial,Lavatera Arborea,20,5,18,0.2,3,60000,70,"[""Loam"",""Sandy"",""Clay""]","[""Mediterranean"",""Coastal regions""]","[""Spring"",""Summer""]",30,40,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4,60,24,0.5,lavatera arborea
756,Perennial,Helichrysum sp.,20,5,18,0.3,3,6000,60,"[""Sandy"",""Loamy"",""Well-drained""]","[""Mediterranean region"",""South Africa"",""Australia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,helichrysum sp.
757,Mushroom,Agrocybe aegerita,20,5,15,0.5,3,300,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Compost"",""Manure""]",4,10,12,2,agrocybe aegerita
758,Perennial,Scutellaria Galericulata,20,5,15,0.4,3,24000,60,"[""Loamy"",""Sandy""]","[""Wetlands"",""Ponds"",""Bogs""]","[""Spring"",""Summer""]",40,35,20,48,"[""Compost"",""Organic Fertilizer""]",6,24,12,0.25,scutellaria galericulata
759,Flowering plant,Succisella inflexa,20,5,15,0.3,3,18000,60,"[""Loamy"",""Sandy"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""NPK"",""Compost"",""Organic fertilizer""]",4,24,12,0.5,succisella inflexa
760,Perennial,Glycyrrhiza echinata,20,5,18,0.3,2,3600,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Summer"",""Autumn""]",40,35,50,48,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",6,36,24,1,glycyrhizza echinata
761,Perennial Herb,Glycyrrhiza uralensis,15,3,20,0.3,4,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""China"",""Korea"",""Russia""]","[""Spring"",""Summer""]",30,35,50,48,"[""Compost"",""Organic liquid fertilizer""]",4,36,100,0.5,glycyrhizza uralensis
762,Vegetable,Ipomoea batatas,25,10,20,0.3,5,6000,70,"[""Sandy loam"",""Loamy sand"",""Silty clay""]","[""Subtropical regions"",""Tropical regions""]","[""Summer"",""Early fall""]",40,38,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,18,12,2,ipomoea batatas
763,Herb,Lippia dulcis,27,5,25,0.3,4,6000,70,"[""Sandy loam"",""Loamy sand"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start of summer""]",40,35,20,24,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,24,12,0.5,lippia dulcis
764,Perennial,Lippia mexicana,25,5,20,0.3,3,3600,70,"[""Sandy loam"",""Clay loam"",""Silty loam""]","[""Texas"",""Mexico"",""Florida""]","[""Late spring"",""Summer"",""Early fall""]",40,35,30,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,lippia mexicana
765,Herb,Lippia scaberrima,25,5,20,0.3,3,3000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start of summer""]",30,40,20,48,"[""Organic compost"",""Slow-release fertilizer""]",8,24,12,0.5,lippia scaberrima
766,Flowering Plant,Tagetes lemmonii,20,5,18,0.3,4,3600,60,"[""Well-drained"",""Sandy"",""Loamy""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Spring"",""Summer"",""Fall""]",40,35,20,48,"[""NPK"",""Compost""]",4,36,24,0.5,tagetes lemmonii
767,Perennial,Hemerocallis lilioasphodelus,20,5,18,0.3,3,6000,70,"[""Loam"",""Sandy"",""Clay""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""10-10-10"",""20-20-20""]",4,36,12,1,hemerocallis lilioasphodelus
768,Perennial,Hemerocallis Fulva,22,5,18,0.2,4,6000,60,"[""Loam"",""Clay"",""Sandy""]","[""North America"",""Europe"",""Asia""]","[""Late Spring"",""Summer""]",40,35,20,48,"[""10-10-10"",""20-20-20""]",6,30,24,1,hemerocallis fulva
769,Perennial,Tamarindus indica,30.5,10,28,0.4,5,8,70,"[""Sandy loam"",""Clay loam"",""Laterite""]","[""Tropical regions"",""Subtropical regions""]","[""Start of summer"",""Rainy season""]",40,45,100,48,"[""Organic compost"",""NPK fertilizer""]",12,80,120,3,tamarindus indica
770,Evergreen Conifer,Abies alba,10.6,3.2,12.8,0.42,2.1,18000,70,"[""Loamy"",""Sandy"",""Clayey""]","[""Central Europe"",""Caucasus"",""Carpathian Mountains""]","[""Late Spring"",""Early Summer""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",8,160,48,0.4,abies alba
771,Perennial,Silene vulgaris L.,18,5,15,0.4,3,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer"",""Fall""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,silene vulgaris l.
772,Shrub,Zanthoxylum simulans,25,5,22,0.3,4,3600,70,"[""Loam"",""Clay""]","[""North America"",""East Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,120,36,1,zanthoxylum simulans
773,Aquatic Plant,Myriophyllum spicatum,20,5,18,0.4,4,18000,70,"[""Clay"",""Loam"",""Silt""]","[""North America"",""Europe"",""Asia""]","[""Summer"",""Autumn""]",30,35,50,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,48,36,2,myriophyllum spicatum
774,Perennial Herb,Centaurium erythraea,20,3,18,0.5,4,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Europe"",""Mediterranean region"",""North Africa""]","[""Spring"",""Summer""]",30,35,10,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",12,20,10,0.2,centaurium erythraea
775,Herb,Chenopodium ambrosioides,20,5,18,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions"",""Warm temperate regions""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,24,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,48,12,1,chenopodium ambrosioides
776,Grass,Schoenoplectus tabernaemontani,25,5,20,0.4,3,6000,60,"[""Sandy loam"",""Clay loam"",""Peat""]","[""Wetlands"",""Marshes"",""Ponds""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK"",""Organic compost""]",4,60,12,2,schoenoplectus tabernaemontani
777,Grass,Schoenoplectus triqueter,20,5,18,0.3,3,3600,60,"[""Sandy loam"",""Clay loam"",""Peat soil""]","[""Wetlands"",""Marshes"",""Ponds""]","[""Spring"",""Summer""]",30,35,20,24,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4,36,12,1,schoenoplectus triqueter
778,Grass,Schoenoplectus mucronatus,20,5,18,0.3,4,3600,70,"[""Sandy loam"",""Clay loam"",""Peat""]","[""Wetlands"",""Ponds"",""Marshes""]","[""Spring"",""Summer"",""Fall""]",40,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,40,24,2,schoenoplectus mucronatus
779,Grass,Schoenoplectus pungens,20,5,18,0.4,2,300,60,"[""Loam"",""Silt"",""Clay""]","[""Wetlands"",""Marshes"",""Ponds""]","[""Spring"",""Summer""]",40,35,15,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,48,24,2,schoenoplectus pungens
780,Perennial herb,Succisa pratensis,15,5,12,0.3,3,600,60,"[""Loam"",""Sandy loam""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",8,24,12,0.5,succisa pratensis
781,Herb,Thymus pulegioides,18,5,15,0.3,4,3600,50,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Europe"",""North America""]","[""Late Spring"",""Summer""]",30,35,20,48,"[""Compost"",""Organic Fertilizer""]",4,12,12,0.2,thymus pulegioides
782,Herb,Coleus amboinicus,25-35,5-10,25-30,0.3-0.5,3-5,6-8,50-70,"[""Well-drained"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Summer"",""Monsoon""]",20,40,50,24-48,"[""Organic compost"",""Slow-release granular fertilizer""]",4-6,24,12x12,0.25-0.5,coleus amboinicus
783,Perennial Herb,Thymus herba-barona,18,2.5,15,0.25,3,25000,60,"[""Well-drained sandy loam"",""Loam"",""Silt loam""]","[""Mediterranean region"",""Central Europe"",""North America""]","[""Spring"",""Summer"",""Fall""]",30,35,10,48,"[""Organic compost"",""Slow-release balanced fertilizer""]",4,6,12,0.25,thymus herba-barona
784,Perennial Herb,Thymus Mastchina,20,5,18,0.3,3,18000,60,"[""Well-drained soil"",""Sandy soil""]","[""Mediterranean region"",""Southern Europe"",""Northern Africa""]","[""Spring"",""Summer""]",30,35,20,48,"[""All-purpose fertilizer"",""Compost""]",4,8,12,0.2,thymus mastchina
785,Perennial Herb,Thymus fragrantissimus,22,3,18,0.25,2,24000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean region"",""Western Asia"",""North Africa""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,12,12,0.2,thymus fragrantissimus
786,Herb,Thymus citriodorus,20,5,18,0.3,4,2400,65,"[""Loam"",""Sandy"",""Clay""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,12,12,0.5,thymus citriodorus
787,Epiphyte,Tillandsia sp.,20 °C,5 mm,22 °C,0.5 m³/m³,3 mm/day,600 seconds,60%,"[""Well-drained soil"",""Sandy soil"",""Loamy soil""]","[""Tropical rainforests"",""Subtropical regions"",""Coastal areas""]","[""Year-round"",""Start summer""]",50 km/h,35 °C,50 mm,2 hours,"[""Liquid fertilizer"",""Slow-release granular fertilizer""]",4 weeks,12 in,24 in,0.5 in,tillandsia sp.
788,Annual Flower,Titonia Rotundifolia,26,5,21,0.25,4,3600,60,"[""Loamy"",""Sandy""]","[""Tropical regions"",""Subtropical regions""]","[""Summer"",""Rainy season""]",30,35,20,48,"[""Organic compost"",""Balanced NPK fertilizer""]",4,48,36,0.5,titonia rotundifolia
789,Perennial,Atropa Belladonna,15,5,18,0.4,3,6000,60,"[""Loamy"",""Sandy""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,60,24,0.2,atropa belladonna
790,Fruit Plant,Lycopersicon esculentum,25,5,20,0.3,2,6000,60,"[""Loam"",""Sandy loam"",""Silt loam""]","[""Mediterranean region"",""Central and South America"",""Southern Europe""]","[""Start summer"",""Year-round in tropical regions""]",40,35,50,48,"[""NPK 10-10-10"",""Organic compost""]",4,72,24,0.5,lycopersicon esculentum
791,Fruit-bearing plant,Lycopersicum esculentum,24.5,5.3,18.2,0.35,4.8,27000,65,"[""Loam"",""Sandy loam"",""Silt loam""]","[""Mediterranean region"",""Central America"",""Southeast Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""NPK"",""Compost"",""Organic fertilizers""]",2,60,24,0.5,lycopersicum esculentum
792,Fruit,Physalis ixocarpa,20,5,18,0.3,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mexico"",""Central America"",""Southwestern United States""]","[""Start summer"",""Late summer"",""Early fall""]",20,35,50,48,"[""NPK fertilizer"",""Compost""]",4,60,24,0.5,physalis ixocarpa
793,Perennial,Helianthus tuberosus,20,5,15,0.3,4,6000,60,"[""Loamy"",""Sandy"",""Clayey""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,35,50,48,"[""NPK"",""Compost""]",4,120,24,4,helianthus tuberosus
794,Perennial Herb,Astragalus membranaceus,20,5,18,0.25,3,30000,50,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""China"",""Korea"",""Mongolia""]","[""Late Spring"",""Summer"",""Early Autumn""]",30,35,50,48,"[""Organic compost"",""Nitrogen-rich fertilizer""]",6,24,12,0.5,astragalus membranaceus
795,Flowering plant,Astragalus glycophyllus,25,5,20,0.4,3,600,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Southwest United States"",""Northern Mexico""]","[""Late spring"",""Summer""]",30,40,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,2,astragalus glycophyllus
796,Shrub,Prunus padus,18,5,15,0.35,3,28800,70,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,30,48,"[""NPK"",""Compost""]",8,240,48,0.5,prunus padus
797,Grass,Bromus grossus,20,10,15,0.4,5,6000,60,"[""Loam"",""Clay"",""Sandy""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,24,"[""Nitrogen-based"",""Phosphorus-based""]",4,24,12,2,bromus grossus
798,Grass,Bromus Secalinus,15-25,2-5,10-20,0.2-0.3,3-5,3000-3500,60-80,"[""Loamy"",""Sandy""]","[""North America"",""Europe""]","[""Spring"",""Summer""]",20-40,30-35,50-100,24-48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,24-36,12-18,0.5-1,bromus secalinus
799,Flowering Vine,Ipomoea hederifolia,25,5,22,0.3,4,3600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start of summer""]",30,40,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,120,36,0.5,ipomoea hederifolia
800,Flowering Vine,Ipomoea x imperialis,25,5,20,0.4,3,18000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Summer"",""Monsoon""]",40,35,50,48,"[""NPK fertilizer"",""Organic compost""]",6,72,144,0.5,ipomoea x imperialis
801,Tree,Catalpa bignonioides,20,5,15,0.3,3,6000,70,"[""Loam"",""Clay""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,35,50,48,"[""NPK"",""Compost""]",4,60,100,1,catalpa bignonioides
802,Herbaceous Perennial,Bunias orientalis,20,5,18,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,60,24,0.5,bunias orientalis
803,Tuberous Vegetable,Ullucus Tuberosus,20,10,18,0.4,5,3600,70,"[""Loamy"",""Sandy loam"",""Clay loam""]","[""Andean region"",""Central America"",""Himalayan region""]","[""Start of summer"",""Rainy season"",""Cool season""]",30,30,50,24,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",4,24,12,4,ullucus tuberosus
804,Tree,Ulmus glabra,5 - 20,2 - 5,10 - 15,0.2 - 0.4,2 - 5,18000 - 22000,40 - 70,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,100,1000,4,ulmus glabra
805,Tree,Ulmus minor,10 to 25,2 to 5,15 to 20,0.3 to 0.5,4 to 6,6 to 8,40 to 60,"[""Loam"",""Silt"",""Clay""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",50,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 to 6,40 to 80,60 to 100,0.5 to 1,ulmus minor
